t	x
7.40E+00	2.64E-02
7.43E+00	2.82E-02
7.47E+00	2.99E-02
7.50E+00	3.16E-02
7.53E+00	3.33E-02
7.57E+00	3.50E-02
7.60E+00	3.68E-02
7.63E+00	3.87E-02
7.67E+00	4.05E-02
7.70E+00	4.23E-02
7.73E+00	4.40E-02
7.77E+00	4.55E-02
7.80E+00	4.68E-02
7.83E+00	4.70E-02
7.87E+00	4.58E-02
7.90E+00	4.40E-02
7.93E+00	4.24E-02
7.97E+00	3.87E-02
8.00E+00	3.69E-02
8.03E+00	3.47E-02
8.07E+00	3.23E-02
8.10E+00	3.00E-02
8.13E+00	2.73E-02
8.17E+00	2.52E-02
8.20E+00	2.27E-02
8.23E+00	2.04E-02
8.27E+00	1.80E-02
8.30E+00	1.64E-02
8.33E+00	1.64E-02
8.37E+00	1.79E-02
8.40E+00	1.87E-02
8.43E+00	1.96E-02
8.47E+00	1.98E-02
8.50E+00	2.05E-02
8.53E+00	2.11E-02
8.57E+00	2.19E-02
8.60E+00	2.26E-02
8.63E+00	2.34E-02
8.67E+00	2.40E-02
8.70E+00	2.45E-02
8.73E+00	2.44E-02
8.77E+00	2.37E-02
8.80E+00	2.25E-02
8.83E+00	2.10E-02
8.87E+00	1.92E-02
8.90E+00	1.66E-02
8.93E+00	1.61E-02
8.97E+00	1.39E-02
9.00E+00	1.29E-02
9.03E+00	1.10E-02
9.07E+00	8.86E-03
9.10E+00	7.83E-03
9.13E+00	6.77E-03
9.17E+00	5.92E-03
9.20E+00	4.96E-03
9.23E+00	4.08E-03
9.27E+00	3.15E-03
9.30E+00	2.01E-03
9.33E+00	1.07E-03
9.37E+00	3.84E-04
9.40E+00	-1.39E-04
9.43E+00	-5.95E-04
9.47E+00	-1.15E-03
9.50E+00	-1.58E-03
9.53E+00	-2.41E-03
9.57E+00	-3.09E-03
9.60E+00	-3.87E-03
9.63E+00	-4.45E-03
9.67E+00	-4.92E-03
9.70E+00	-4.77E-03
9.73E+00	-4.56E-03
9.77E+00	-4.93E-03
9.80E+00	-4.78E-03
9.83E+00	-4.17E-03
9.87E+00	-3.93E-03
9.90E+00	-3.51E-03
9.93E+00	-3.04E-03
9.97E+00	-2.69E-03
1.00E+01	-2.32E-03
1.00E+01	-1.95E-03
1.01E+01	-1.71E-03
1.01E+01	-1.53E-03
1.01E+01	-1.55E-03
1.02E+01	-1.37E-03
1.02E+01	-1.38E-03
1.02E+01	-1.49E-03
1.03E+01	-1.69E-03
1.03E+01	-1.92E-03
1.03E+01	-1.86E-03
1.04E+01	-1.78E-03
1.04E+01	-1.71E-03
1.04E+01	-1.62E-03
1.05E+01	-1.58E-03
1.05E+01	-1.78E-03
1.05E+01	-1.99E-03
1.06E+01	-2.22E-03
1.06E+01	-2.12E-03
1.06E+01	-1.45E-03
1.07E+01	-1.32E-03
1.07E+01	-1.16E-03
1.07E+01	-9.72E-04
1.08E+01	-6.08E-04
1.08E+01	-1.88E-04
1.08E+01	1.60E-04
1.09E+01	-3.32E-04
1.09E+01	-5.72E-04
1.09E+01	-6.24E-04
1.10E+01	-1.50E-03
1.10E+01	-6.80E-04
1.10E+01	4.38E-05
1.11E+01	-1.36E-05
1.11E+01	-2.77E-04
1.11E+01	2.08E-03
1.12E+01	2.72E-03
1.12E+01	4.56E-03
1.12E+01	5.04E-03
1.13E+01	5.63E-03
1.13E+01	6.30E-03
1.13E+01	7.02E-03
1.14E+01	7.78E-03
1.14E+01	8.27E-03
1.14E+01	8.75E-03
1.15E+01	9.05E-03
1.15E+01	9.18E-03
1.15E+01	9.31E-03
1.16E+01	9.42E-03
1.16E+01	9.06E-03
1.16E+01	8.57E-03
1.17E+01	7.71E-03
1.17E+01	7.71E-03
1.17E+01	7.55E-03
1.18E+01	7.46E-03
1.18E+01	6.44E-03
1.18E+01	5.23E-03
1.19E+01	3.69E-03
1.19E+01	4.21E-03
1.19E+01	4.89E-03
1.20E+01	4.37E-03
1.20E+01	4.46E-03
1.20E+01	5.84E-03
1.21E+01	6.80E-03
1.21E+01	7.34E-03
1.21E+01	7.59E-03
1.22E+01	8.22E-03
1.22E+01	8.84E-03
1.22E+01	9.73E-03
1.23E+01	1.06E-02
1.23E+01	1.12E-02
1.23E+01	1.18E-02
1.24E+01	1.24E-02
1.24E+01	1.28E-02
1.24E+01	1.27E-02
1.25E+01	1.26E-02
1.25E+01	1.26E-02
1.25E+01	1.20E-02
1.26E+01	1.10E-02
1.26E+01	1.04E-02
1.26E+01	9.61E-03
1.27E+01	9.67E-03
1.27E+01	8.65E-03
1.27E+01	7.26E-03
1.28E+01	6.03E-03
1.28E+01	5.58E-03
1.28E+01	5.56E-03
1.29E+01	5.27E-03
1.29E+01	4.88E-03
1.29E+01	5.27E-03
1.30E+01	7.98E-03
1.30E+01	8.76E-03
1.30E+01	9.60E-03
1.31E+01	1.02E-02
1.31E+01	1.09E-02
1.31E+01	1.18E-02
1.32E+01	1.28E-02
1.32E+01	1.37E-02
1.32E+01	1.47E-02
1.33E+01	1.55E-02
1.33E+01	1.61E-02
1.33E+01	1.65E-02
